BANC,FAFB,MAOL
720575941570119668,720575940628840956,159496
720575941504436293,720575940626692158,151577
720575941546654396,720575940616791709,532041
720575941651827989,720575940633786559,128031
720575941440524629,720575940644237728,137813
720575941508956626,720575940634603930,131104
720575941350352176,720575940617745821,131678
720575941458362835,720575940628991682,37682
720575941563732648,720575940614824258,133241
720575941571901000,720575940624625040,54457
720575941462497680,720575940623248483,36183
720575941652194777,720575940618442937,107654
720575941556499684,720575940611261170,114840
720575941412067695,720575940630937660,89111
720575941481253967,720575940621245805,50621
720575941496942464,720575940625376442,51559
720575941537486824,720575940619807397,90480
720575941563296098,720575940624882407,140847
720575941502278795,720575940624684531,77625
720575941546843836,720575940616365535,131051
720575941507397410,720575940618937547,124353
720575941555975652,720575940633699245,145943
720575941492512126,720575940625320394,71455
720575941503528171,720575940630527685,41210
720575941525351938,720575940603981536,128893
720575941462831504,720575940627731352,128458
720575941414030737,720575940618368157,129692
720575941506715415,720575940633117900,73966
720575941629731110,720575940629991788,149504
720575941659095632,720575940628523819,145488
720575941671430311,720575940633210671,106874
720575941600940473,720575940627867194,117794
720575941529814968,720575940635372479,121235
720575941599326505,720575940632903737,128897
720575941658602520,720575940620156283,115426
720575941470212160,720575940609436099,78655
720575941430607279,720575940646241390,156124
720575941557812004,720575940632958253,126353
720575941483052541,720575940641478864,84078
720575941490707175,720575940616429825,142034
720575941595520039,720575940625087434,120049
720575941616532437,720575940631713743,85610
720575941430258647,720575940614572906,50890
720575941564243602,720575940607378633,74890
720575941573301917,720575940625447155,113013
720575941558116111,720575940646058094,95502
720575941568245550,720575940617024306,70882
720575941595144999,720575940634820703,134307
720575941654252761,720575940647000708,156403
720575941563348370,720575940635689626,88914
720575941474569521,720575940630980559,105333
720575941476922654,720575940604058540,106480
720575941491190729,720575940632049935,83683
720575941597457564,720575940614734754,98959
720575941642353784,720575940617340701,73893
720575941594551847,720575940636873705,110633
720575941412858223,720575940610486830,83954
720575941461785796,720575940631432901,70053
720575941478215136,720575940619016059,137611
720575941407101614,720575940617298747,154460
720575941596589468,720575940628352680,94559
720575941667615219,720575940623456024,161461
720575941663467900,720575940615786897,92273
720575941540583293,720575940622867687,96209
720575941722224186,720575940635963060,159710
720575941687492847,720575940620466635,127163
720575941536453106,720575940632037224,61099
720575941586442462,720575940614808844,50834
720575941436297248,720575940621723283,93114
720575941565221735,720575940631347011,75043
720575941467724054,720575940618156829,114413
720575941645584840,720575940615113169,144845
720575941565348103,720575940629673436,25234
720575941638329973,720575940619329957,71010
720575941438606354,720575940623605943,73872
720575941589995319,720575940619983518,116707
720575941471458059,720575940632793645,105155
720575941504004290,720575940625480940,132187
720575941516994963,720575940628174355,123270
720575941474648618,720575940633555757,146367
720575941467703062,720575940624596006,173038
720575941456625567,720575940624070953,73567
720575941565380910,720575940628563688,168611
720575941691235480,720575940645084104,79568
720575941611945901,720575940610694098,139717
720575941572264201,720575940620633947,120845
720575941569335802,720575940621712990,118070
720575941564447239,720575940625576962,108448
720575941535027544,720575940638403928,99947
720575941523100491,720575940622669971,79462
720575941431312142,720575940633688416,108662
720575941553487239,720575940629775324,137677
720575941579027321,720575940637386462,121016
720575941577162841,720575940628858024,86636
720575941548012093,720575940615302962,114409
720575941614260755,720575940631710604,144109
720575941475555899,720575940633146961,541676
720575941498699643,720575940629752219,57889
720575941640785951,720575940611690477,141931
720575941671706023,720575940623232392,59271
720575941643562597,720575940616750481,161481
720575941500951383,720575940611606830,119506
720575941490732341,720575940628606658,66997
